アルコール分,日本酒度,エキス分,総酸,アミノ酸度,甘辛度,濃淡度,精米歩合,容器,タイプ
15.297,10.77,4.014,0.96,1.758,-0.119,NA,70.7,緑色瓶,一般酒
15.018,6.29,4.711,0.876,1.47,-0.207,-0.938,69.72,緑色瓶,一般酒
14.826,5.812,NA,1.45,1.203,-0.081,-1.089,71.17,茶色瓶,一般酒
14.824,2.317,4.073,0.798,1.2770000000000001,0.379,-1.062,65.89,茶色瓶,一般酒
15.76,7.893,5.67,0.828,1.857,0.195,-1.1320000000000001,65.61,茶色瓶,一般酒
15.501,-0.448,4.807,1.544,1.62,-0.192,-0.945,68.63,茶色瓶,一般酒
15.208,0.767,3.725,1.013,1.042,-0.186,-0.954,70.09,緑色瓶,一般酒
15.49,2.354,4.091,1.4769999999999999,1.6019999999999999,-0.11,-0.837,72.34,紙パック,一般酒
14.337,6.819,5.705,1.147,1.307,0.102,-0.998,69.65,茶色瓶,一般酒
14.437,2.513,4.828,1.202,1.147,-0.311,NA,66.39,NA,一般酒
15.258,-1.553,4.602,NA,0.891,0.235,-0.993,69.39,茶色瓶,一般酒
15.759,5.128,4.311,1.518,1.302,0.106,-1.01,70.02,茶色瓶,一般酒
13.932,4.641,3.904,1.145,1.556,-0.071,-1.039,70.41,緑色瓶,一般酒
15.956,8.479,3.532,1.032,0.537,NA,-0.96,79.56,緑色瓶,一般酒
15.083,4.562,3.67,1.07,0.749,-0.023,-0.975,67.89,茶色瓶,一般酒
15.809,0.288,4.618,1.35,1.167,-0.082,-1.108,68.98,茶色瓶,一般酒
16.494,3.407,4.526,1.391,NA,0.076,-0.985,69.49,茶色瓶,一般酒
15.241,-1.3900000000000001,5.104,1.22,0.808,-0.083,NA,69.35,茶色瓶,一般酒
15.454,1.172,4.246,0.829,1.035,-0.174,-0.997,67.89,茶色瓶,一般酒
15.883,1.542,4.546,1.059,NA,-0.41,-0.924,69.39,茶色瓶,一般酒
15.42,3.759,6.18,1.3900000000000001,1.4889999999999999,0.292,-1.088,70.28,茶色瓶,一般酒
14.591,-1.741,4.066,0.916,1.367,0.052,-1.09,69.57,茶色瓶,一般酒
14.401,3.66,4.221,1.381,1.135,-0.057,-0.939,72.46,紙パック,NA
16.149,2.453,4.319,1.449,1.228,-0.084,NA,69.25,茶色瓶,一般酒
14.784,6.7620000000000005,NA,1.389,1.019,0.21,-0.868,69.11,茶色瓶,一般酒
14.893,-2.013,3.825,1.022,1.229,-0.128,-1.126,69.13,紙パック,一般酒
16.713,8.303,4.621,1.06,1.1219999999999999,0.092,-0.944,71.46,茶色瓶,一般酒
14.29,11.961,4.123,1.2570000000000001,1.399,0.098,-1.156,68.68,茶色瓶,一般酒
15.469,-4.115,3.88,1.301,2.012,0.199,-0.964,69.01,緑色瓶,一般酒
16.163,8.299,5.864,1.246,1.434,-0.411,-0.967,71.54,茶色瓶,一般酒
14.552,6.042,4.27,1.275,1.838,0.262,-1.141,74.16,茶色瓶,一般酒
16.452,3.561,4.076,1.5550000000000002,0.871,-0.124,-1.041,69.78,茶色瓶,一般酒
15.055,5.222,4.2780000000000005,1.078,1.08,-0.154,-1.109,70.69,茶色瓶,一般酒
15.391,-2.421,4.389,1.354,1.211,0.097,-1.133,68.92,茶色瓶,一般酒
15.347,3.378,5.122,1.2810000000000001,1.057,-0.313,-0.927,68.67,茶色瓶,一般酒
17.344,5.618,5.188,0.898,1.014,-0.037,-1.11,69.41,その他色瓶,一般酒
15.485,0.599,6.117,1.112,1.504,0.06,-1.156,69.97,茶色瓶,一般酒
15.855,4.047,5.447,1.012,1.5550000000000002,-0.284,-0.947,69.78,緑色瓶,一般酒
15.922,-2.382,4.732,1.13,1.5819999999999999,-0.371,-1.083,66.03,NA,一般酒
15.088,3.553,5.442,1.308,1.205,-0.036,-1.007,73.93,茶色瓶,一般酒
14.526,8.107,4.24,1.105,1.9729999999999999,-0.294,-0.96,72.66,茶色瓶,一般酒
15.187,8.35,4.265,0.794,1.48,-0.097,-0.948,68.32,茶色瓶,一般酒
15.849,3.541,5.009,1.148,0.951,-0.072,-1.038,71.34,紙パック,一般酒
15.983,3.896,4.219,1.112,1.3860000000000001,-0.232,-1.006,70.65,茶色瓶,一般酒
15.664,5.111,NA,1.131,0.649,-0.096,-0.995,70.61,茶色瓶,一般酒
15.539,2.487,4.811,0.946,0.95,-0.239,-1.096,67.01,茶色瓶,一般酒
15.141,4.665,4.247,1.224,1.19,0.126,NA,68.26,茶色瓶,一般酒
16.424,-4.109,4.814,1.755,0.999,-0.314,-0.941,68.24,リターナブル瓶,一般酒
NA,6.932,5.135,0.995,0.902,0.025,-0.989,68.46,紙パック,一般酒
15.125,2.066,5.069,1.219,1.623,-0.286,-1.037,68.7,緑色瓶,一般酒
15.303,3.63,4.592,1.049,1.032,-0.051,-1.084,67.77,茶色瓶,一般酒
14.183,0.303,4.23,0.887,1.475,-0.018,-0.828,70.82,緑色瓶,一般酒
14.023,7.05,4.476,1.466,1.322,0.163,-1.039,71.58,リターナブル瓶,一般酒
15.226,6.698,4.329,1.3519999999999999,1.304,-0.187,-1.017,66.83,リターナブル瓶,一般酒
17.38,4.233,5.442,0.874,1.168,-0.188,-1.019,69.45,茶色瓶,一般酒
15.262,9.532,4.912,1.326,1.417,0.083,-0.927,69.03,茶色瓶,一般酒
15.122,2.602,4.872,0.992,1.137,-0.097,-1.024,65.84,茶色瓶,一般酒
14.981,3.434,4.767,0.954,1.423,-0.113,-1.006,66.85,茶色瓶,NA
14.709,2.876,4.399,1.5590000000000002,1.6219999999999999,0.026,-1.026,71.7,その他色瓶,一般酒
14.946,6.538,NA,1.319,0.604,-0.068,-1.019,68.75,青色瓶,一般酒
15.285,2.358,5.313,0.829,0.249,0.066,-0.931,73.31,茶色瓶,一般酒
15.495,2.852,4.404,1.245,0.41,-0.265,-1.095,68.09,紙パック,一般酒
14.597,2.605,3.336,1.396,1.179,-0.324,-0.807,70.96,茶色瓶,一般酒
15.734,3.715,4.003,1.179,1.2429999999999999,-0.035,-0.917,68.02,茶色瓶,一般酒
14.68,1.778,5.369,0.976,1.279,0.255,-1.2389999999999999,69.48,その他色瓶,一般酒
16.185,0.949,4.576,1.351,1.2389999999999999,-0.243,-0.949,68.32,紙パック,一般酒
15.312,7.9190000000000005,4.572,1.332,1.591,0.169,-0.986,72.44,茶色瓶,一般酒
16.604,6.014,NA,0.857,1.401,-0.07,-1.074,70.57,茶色瓶,一般酒
15.172,3.302,3.91,1.548,1.6520000000000001,-0.055,-0.912,68.44,茶色瓶,一般酒
14.5,7.958,NA,1.911,1.162,-0.265,-0.876,72.09,茶色瓶,一般酒
14.033,7.691,5.233,1.156,0.849,0.22,-0.952,71.42,紙パック,一般酒
13.34,11.9,5.135,1.327,1.399,-0.055,-1,73.4,茶色瓶,一般酒
14.521,5.198,5.259,1.363,1.561,0.068,-1.109,73.13,茶色瓶,一般酒
15.43,2.509,4.908,0.809,1.44,0.007,-0.822,75.85,茶色瓶,一般酒
14.565,9.515,5.695,0.958,1.014,-0.014,-0.972,67.71,茶色瓶,一般酒
15.445,7.664,4.288,0.958,0.858,-0.494,-1.159,71.17,紙パック,一般酒
14.973,3.165,4.9399999999999995,1.067,1.106,-0.363,-1,72.43,紙パック,NA
14.477,3.862,4.329,1.449,1.18,0.297,-0.898,73.82,茶色瓶,一般酒
15.021,1.1219999999999999,5.286,1.663,0.848,-0.056,-1,67.32,茶色瓶,一般酒
16.759,7.308,3.785,1.427,1.124,-0.238,-0.996,67.34,緑色瓶,一般酒
14.557,0.296,4.498,1.081,1.419,0.085,-1.01,69.15,緑色瓶,一般酒
14.028,11.431,5.058,0.975,0.78,-0.059,-1,69,茶色瓶,一般酒
15.457,6.89,4.891,1.3639999999999999,0.218,-0.109,-1,68.3,その他色瓶,一般酒
15.276,10.518,3.5220000000000002,0.946,NA,-0.09,-1.039,68.01,緑色瓶,一般酒
14.117,4.486,4.939,1.336,1.464,-0.437,-1.037,69.85,茶色瓶,一般酒
14.407,5.223,4.78,1.217,0.975,-0.145,-0.997,71.65,茶色瓶,一般酒
14.649000000000001,3.157,4.73,1.212,1.526,-0.121,-0.879,71.66,NA,一般酒
14.425,4.413,5.265,1.3479999999999999,0.649,0.027,-1.009,67.05,緑色瓶,一般酒
14.785,-0.418,4.936,1.336,0.894,0.111,-0.984,75.07,茶色瓶,一般酒
16.087,2.8609999999999998,5.728,1.335,1.2530000000000001,0.284,-0.941,69.7,茶色瓶,一般酒
14.398,9.046,4.426,1.036,1.25,0.033,-1.027,69.89,茶色瓶,一般酒
15.598,4.227,3.997,0.908,0.973,0.061,-0.973,74.35,茶色瓶,一般酒
16.025,6.405,4.504,1.319,1.296,-0.011,-0.861,74.95,茶色瓶,一般酒
16.105,3.419,4.714,1.284,1.3900000000000001,-0.096,-1.004,69.96,茶色瓶,一般酒
15.849,8.265,4.872,1.159,1.167,-0.153,-1.1360000000000001,69.16,緑色瓶,一般酒
16.037,0.506,4.287,0.853,1.1400000000000001,0.028,-0.978,NA,紙パック,一般酒
15.761,1.746,3.886,1.088,1.5659999999999998,-0.157,-1.03,64.41,茶色瓶,一般酒
14.705,5.681,4.891,0.884,0.989,-0.015,-0.919,69.12,茶色瓶,NA
14.924,0.388,4.1,0.882,1.746,0.065,-0.984,69.68,紙パック,一般酒
15.423,5.58,4.763,1.5070000000000001,1.297,-0.151,-1.025,69.74,茶色瓶,一般酒
15.144,4.086,5.148,1.226,1.236,-0.116,-1.029,70.91,紙パック,一般酒
15.124,3.489,4.485,1.388,1.367,-0.096,-0.936,71.6,緑色瓶,一般酒
15.086,-1.6280000000000001,4.127,1.1280000000000001,0.943,NA,-1.028,71.21,茶色瓶,一般酒
14.799,1.631,4.505,0.677,1.2690000000000001,-0.208,-0.93,69.65,緑色瓶,一般酒
15.177,0.718,4.025,1.138,1.168,0.281,-0.855,70.43,茶色瓶,一般酒
15.427,6.649,4.383,0.957,1.417,-0.091,-1.041,69.3,茶色瓶,一般酒
15.011,4.899,5.384,1.078,1.7530000000000001,-0.373,-0.999,69.11,茶色瓶,一般酒
15.192,1.268,4.438,1.259,1.317,0.004,-1.077,70.79,茶色瓶,一般酒
15.089,0.79,3.577,1.079,0.662,-0.008,-1.061,74.45,茶色瓶,一般酒
15.241,1.447,3.769,1.2650000000000001,1.009,0.02,-1.126,70.37,その他色瓶,一般酒
14.986,6.639,5.062,1.459,0.882,0.208,-1.018,65.74,茶色瓶,一般酒
14.58,2.213,4.061,1.6600000000000001,1.289,-0.349,-1,72.34,NA,一般酒
16.858,7.331,6.389,1.051,1.041,-0.001,-1.078,66.67,茶色瓶,一般酒
15.219,0.671,5.219,1.596,0.739,0.194,-1.087,64.34,茶色瓶,一般酒
15.818,5.854,4.393,1.728,1.079,-0.391,-0.888,72.86,紙パック,一般酒
14.565,-4.431,3.4939999999999998,0.89,1.655,-0.106,-1.167,67.75,緑色瓶,一般酒
15.676,4.435,4.8870000000000005,1.162,1.1,-0.374,-1.046,74.54,緑色瓶,一般酒
15.181,-1.601,NA,1.286,1.524,-0.118,-0.987,68.7,茶色瓶,一般酒
15.04,6.971,3.608,1.063,1.553,-0.093,-1.067,67.66,紙パック,一般酒
16.208,3.614,4.418,1.216,1.045,0.345,-1.171,NA,その他色瓶,NA
15.97,3.551,5.247,1.189,1.1179999999999999,-0.176,-1.103,70.46,茶色瓶,一般酒
14.741,0.736,3.582,0.896,1.113,-0.29,-1.014,72.45,茶色瓶,一般酒
15.328,4.445,5.127,1.48,1.458,-0.046,-1.018,66.15,茶色瓶,一般酒
15.65,6.803,4.131,1.542,0.995,0.036,-0.913,74.63,緑色瓶,一般酒
14.96,6.461,4.905,0.925,1.275,-0.168,-1.057,70.74,茶色瓶,一般酒
15.693999999999999,6.504,4.306,1.2,1.4889999999999999,-0.209,-1.002,69.08,緑色瓶,一般酒
14.525,1.916,5.482,1.077,1.005,-0.08,-1.009,73.56,茶色瓶,一般酒
NA,2.908,4.463,0.56,1.437,-0.266,-1.176,71.5,茶色瓶,一般酒
15.189,6.169,4.394,0.995,1.077,-0.133,-1.029,68.7,茶色瓶,一般酒
14.55,5.505,4.467,1.381,0.98,-0.077,-0.939,73.9,茶色瓶,一般酒
16.574,-0.133,5.019,1.401,1.436,-0.186,-0.95,69.09,紙パック,一般酒
16.089,2.935,5.026,0.974,1.236,-0.199,-0.98,72.69,リターナブル瓶,一般酒
14.186,4.791,NA,1.065,1.283,-0.025,-1.081,70.18,茶色瓶,NA
17.008,4.787,2.968,1.427,1.544,0.3,-0.989,71.77,茶色瓶,一般酒
14.564,2.765,4.021,1.198,1.038,0.188,-0.987,70.03,紙パック,一般酒
14.778,0.601,4.543,1.365,1.693,0.118,-0.982,67.19,緑色瓶,一般酒
14.735,5.943,3.4859999999999998,NA,1.359,-0.363,-0.921,70.73,紙パック,一般酒
14.600999999999999,2.768,4.878,1.244,1.258,-0.083,-0.847,66.36,茶色瓶,一般酒
14.083,7.555,4.074,0.912,1.755,-0.236,-1.078,68.72,茶色瓶,一般酒
15.519,3.6790000000000003,4.63,0.967,0.928,-0.253,-1.007,71.42,茶色瓶,一般酒
14.337,7.85,4.469,1.3559999999999999,1.549,0.022,-0.946,72.78,茶色瓶,一般酒
16.093,1.282,6.277,1.44,1.575,-0.164,-0.772,69.53,茶色瓶,一般酒
15.444,1.564,4.426,0.782,1.634,-0.206,-1.004,68.54,緑色瓶,一般酒
15.386,1.193,5.179,1.07,1.048,0.172,-0.992,70.78,茶色瓶,一般酒
15.076,2.025,4.977,1.303,1.325,0.047,-1.021,70.11,その他色瓶,一般酒
15.888,5.451,4.236,1.068,1.5110000000000001,-0.242,-1.1280000000000001,70.31,紙パック,一般酒
14.941,4.356,4.605,1.752,1.548,0.012,-1.119,68.25,緑色瓶,一般酒
16.023,1.716,5.024,1.027,1.1179999999999999,0.251,-0.991,72.76,緑色瓶,一般酒
14.528,3.691,4.293,1.307,1.316,0.009,-1.039,70.59,紙パック,一般酒
15.275,4.2,5.6899999999999995,1.234,1.679,0.045,-0.977,69.08,茶色瓶,一般酒
14.524000000000001,2.018,5.193,1.431,1.176,-0.105,-1.064,70.64,茶色瓶,一般酒
14.2,6.392,4.987,0.894,1.029,-0.136,-1.029,67.46,リターナブル瓶,一般酒
15.727,6.008,4.577,1.339,0.821,-0.186,-0.963,63.54,茶色瓶,一般酒
14.7,8.945,5.167,1.412,1.412,-0.384,-0.925,66.7,茶色瓶,一般酒
15.259,0.135,5.405,0.848,0.842,0.019,-0.929,68.06,紙パック,NA
16.559,5.739,4.073,0.938,0.552,0.058,-0.971,70.1,茶色瓶,一般酒
14.25,9.51,4.661,1.476,0.746,0.064,-1.016,72.11,茶色瓶,一般酒
15.267,1.633,4.619,1.2389999999999999,1.488,0.222,-1.01,72.12,その他色瓶,一般酒
15.081,4.03,4.926,1.02,1.206,-0.032,-1.085,69.85,緑色瓶,一般酒
14.007,2.051,4.748,1.167,1.355,0.035,-1.008,66.7,緑色瓶,一般酒
14.136,5.929,4.747,1.339,0.533,-0.311,-1.087,72.16,茶色瓶,一般酒
15.721,4.9399999999999995,5.751,1.321,1.288,0.016,-1.106,69.42,NA,一般酒
16.628,-0.844,4.93,1,0.317,-0.071,-0.986,73.77,その他色瓶,一般酒
15.179,3.081,4.072,1.095,0.831,0.023,-1.233,70.49,茶色瓶,一般酒
16.051,5.114,4.889,1.379,1.5699999999999998,0.235,-0.863,66.36,リターナブル瓶,一般酒
14.551,NA,3.792,0.926,1.093,-0.05,-0.825,71.81,茶色瓶,一般酒
15.919,2.275,5.353,0.985,0.976,-0.071,-0.983,72.15,茶色瓶,一般酒
NA,3.49,4.654,0.765,1.256,0.021,-1.033,68.54,茶色瓶,一般酒
14.76,-0.244,4.1,1.137,1.017,0.217,-1.02,71.8,その他色瓶,一般酒
15.852,1.858,3.589,1.411,0.826,-0.279,-0.949,65.72,茶色瓶,一般酒
14.545,2.175,5.004,1.121,1.345,-0.07,-0.974,72.22,茶色瓶,一般酒
14.759,3.44,5.457,1.432,1.1280000000000001,-0.114,-1.032,72.74,茶色瓶,一般酒
15.092,-0.996,5.18,0.904,2.155,NA,NA,71.43,茶色瓶,一般酒
15.176,10.713,4.427,1.201,0.677,-0.053,-1.044,72.52,茶色瓶,一般酒
15.427,3.7119999999999997,4.442,0.915,0.716,-0.391,-0.982,68.36,茶色瓶,一般酒
15.992,3.708,4.231,1.292,0.462,0.156,-1.063,65.98,茶色瓶,一般酒
NA,2.943,5.46,0.873,1.5430000000000001,0.249,-0.883,70.64,紙パック,一般酒
15.41,5.737,5.085,1.285,1.54,0.104,-0.883,64.72,茶色瓶,一般酒
16.386,6.271,4.656,1.207,0.575,0.049,-1.073,69.58,紙パック,一般酒
15.182,3.7640000000000002,4.634,1.791,1.48,0.034,-0.977,71.82,茶色瓶,一般酒
15.47,-1.73,4.128,1.148,0.838,-0.43,-1.071,70.78,茶色瓶,一般酒
14.927,4.9559999999999995,4.625,1.149,0.444,-0.238,-0.914,72.5,紙パック,一般酒
15.458,5.331,4.742,1.012,1.131,-0.048,-0.904,69.24,紙パック,一般酒
15.329,4.092,5.632,1.376,1.619,0.308,-1.09,71.45,茶色瓶,一般酒
16.598,4.01,4.204,0.7,0.937,-0.022,-0.977,70.34,緑色瓶,一般酒
15.058,9.46,4.793,1.518,1.279,NA,-0.861,73.24,茶色瓶,一般酒
13.232,4.455,4.649,1.532,0.769,-0.418,-0.959,68.52,茶色瓶,一般酒
NA,1.677,4.663,1.538,0.742,NA,-0.976,70.47,茶色瓶,一般酒
13.965,-0.32,4.164,1.003,1.869,0.162,-0.918,68.65,NA,一般酒
15.439,4.719,3.71,1.056,1.288,-0.039,-1.064,72.45,NA,一般酒
16.012,6.475,5.176,1.459,1.8559999999999999,-0.339,-0.988,71.44,茶色瓶,一般酒
15.577,6.425,4.258,1.084,1.138,-0.195,-1.085,69.67,その他,一般酒
15.861,0.923,4.716,1.238,1.154,0.131,-0.95,67.58,NA,一般酒
15.606,0.678,4.803,0.836,0.721,-0.086,-0.957,69.65,紙パック,一般酒
16.186,-1.682,4.577,1.1280000000000001,1.529,0.138,-0.971,68.91,茶色瓶,一般酒
14.756,-0.757,4.185,1.453,1.026,-0.196,-0.862,70.29,茶色瓶,一般酒
15.499,3.89,4.648,0.897,0.399,0.07,-0.938,68.29,茶色瓶,一般酒
16.367,1.979,NA,1.169,1.496,-0.036,-1.091,66.97,紙パック,一般酒
16.66,0.261,4.495,1.077,1.44,-0.084,-0.959,64.97,茶色瓶,一般酒
15.925,1.751,5.985,0.9,1.212,-0.147,-1.043,66.75,茶色瓶,一般酒
15.347,-0.774,5.518,1.012,1.263,-0.056,-0.994,71.58,茶色瓶,一般酒
16.307,-0.587,5.824,0.932,1.9060000000000001,-0.022,-0.913,72.76,茶色瓶,一般酒
15.116,4.747,5.824,1.142,1.145,0.116,-1.038,67.7,茶色瓶,一般酒
14.649000000000001,4.948,3.763,1.236,1.335,-0.173,-1.127,71.88,その他色瓶,一般酒
14.972,2.931,4.211,0.984,0.62,-0.389,-0.952,70.82,紙パック,一般酒
15.598,NA,3.874,1.166,1.199,-0.168,-0.886,70.85,その他色瓶,一般酒
14.384,4.009,4.362,1.3780000000000001,1.2570000000000001,-0.019,-0.953,69.3,緑色瓶,一般酒
14.217,5.281,4.29,0.984,0.95,-0.017,-1.064,70.46,緑色瓶,一般酒
15.876,1.8359999999999999,3.759,1.204,2.077,-0.332,-0.949,67.81,茶色瓶,一般酒
15.912,4.111,NA,1.272,1.286,-0.094,-0.952,72.05,茶色瓶,一般酒
15.689,10.315,3.6390000000000002,1.138,0.814,0.258,-1.08,72.57,茶色瓶,一般酒
16.568,4.106,3.809,1.189,0.988,0.118,-1.071,66.04,紙パック,一般酒
16.141,-0.592,5.543,0.618,1.341,-0.205,-0.95,69.92,緑色瓶,一般酒
15.248,-0.942,5.155,0.919,0.736,0.015,-0.965,66.79,紙パック,一般酒
15.76,3.971,3.678,1.137,1.301,-0.16,-0.88,68.35,茶色瓶,一般酒
14.443,10.007,5.397,1.506,1.302,-0.065,-1.054,74.09,茶色瓶,一般酒
14.477,1.174,4.915,1.164,1.704,-0.398,-0.899,72.89,茶色瓶,一般酒
16.683,6.795,5.2,1.345,1.252,-0.028,-0.975,67.57,茶色瓶,一般酒
14.598,-0.255,5.571,1.183,0.748,0.118,-1.042,71.98,茶色瓶,一般酒
16.877,1.274,4.408,1.041,1.101,-0.119,-1.063,69.04,茶色瓶,一般酒
15.814,0.155,4.949,1.093,1.288,-0.073,-1.047,72.21,その他色瓶,一般酒
14.9,5.41,4.992,1.115,1.194,-0.112,-1.1,74.33,茶色瓶,一般酒
15.466,1.996,4.623,1.295,NA,-0.137,-1.022,65.39,その他色瓶,一般酒
14.829,3.498,4.195,1.522,1.327,0.05,-0.947,69.18,茶色瓶,一般酒
14.600999999999999,1.391,5.678,1.129,1.109,-0.012,-1.076,77.13,茶色瓶,一般酒
15.768,3.42,4.252,1.162,0.998,-0.076,-1.002,69.39,茶色瓶,一般酒
15.779,1.876,5.16,1.047,0.803,-0.304,-1.051,66.34,茶色瓶,一般酒
15.109,11.135,4.461,1.047,0.951,-0.094,-0.861,68.23,茶色瓶,一般酒
15.326,3.5629999999999997,4.617,1.524,1.984,0.008,-0.911,71.4,茶色瓶,NA
NA,8.751,4.434,0.883,0.82,0.093,-0.962,70.77,茶色瓶,一般酒
15.428,8.859,4.457,1.142,1.6139999999999999,0.048,-0.947,72.59,紙パック,一般酒
15.414,5.948,5.002,0.97,1.492,-0.029,-1.143,71.62,茶色瓶,一般酒
15.818,8.027,4.551,0.967,1.2469999999999999,-0.289,-0.957,72.04,茶色瓶,一般酒
14.874,1.889,5.883,1.422,1.131,NA,-0.908,74.34,緑色瓶,一般酒
16.113,2.238,4.376,0.985,0.915,0.143,-1.098,69.58,紙パック,一般酒
16.222,-0.022,4.889,1.077,1.306,-0.468,-0.947,68.96,紙パック,一般酒
13.887,-1.207,5.411,1.044,0.883,-0.283,-1.1219999999999999,68.57,茶色瓶,一般酒
